cell_a,cell_b,IR_a,IR_b,OCV_a,OCV_b,delta_IR,delta_OCV,same_chemistry,compatible
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,0.07504116678428603,0.0869974135904067,2.999,2.999,0.011956246806120674,0.0,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,0.07504116678428603,0.07744821092278713,2.999,3.302,0.0024070441385010966,0.30299999999999994,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,0.07504116678428603,0.06595238095238078,2.999,3.525,0.009088785831905255,0.5259999999999998,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,0.07504116678428603,0.07790068251353259,2.999,3.008,0.002859515729246559,0.008999999999999897,True,1
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,0.07504116678428603,0.07524100634846,2.999,2.999,0.00019983956417396476,0.0,True,1
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,0.07504116678428603,0.07672393504353957,2.999,2.999,0.0016827682592535365,0.0,True,1
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,0.07504116678428603,0.07433545048223955,2.999,3.77,0.0007057163020464802,0.7709999999999999,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,0.07504116678428603,0.0673328574827505,2.999,3.551,0.007708309301535529,0.552,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,0.07504116678428603,0.0757112626381379,2.999,3.275,0.0006700958538518736,0.2759999999999998,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,0.07504116678428603,0.08776470588235288,2.999,2.999,0.012723539098066852,0.0,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,0.07504116678428603,0.13333333333333333,2.999,3.538,0.0582921665490473,0.5389999999999997,True,0
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,0.07504116678428603,0.07708578143360759,2.999,2.999,0.002044614649321555,0.0,True,1
